iteration,chain,A,beta,gamma_1,gamma_2,gamma_switch,t_0,tau_rise,tau_fall,extra_sigma,lp,n_steps,is_accept,acceptance_rate,log_density,hamiltonian_energy,hamiltonian_energy_error,max_hamiltonian_energy_error,tree_depth,numerical_error,step_size,nom_step_size
15001,1,103.63349612005676,0.005606348657641919,11.247885254457517,65.40988687270062,0.649781355564251,58832.29280536977,2.8998622518690205,28.057504391669546,1.696496257184146,-86.81382103536514,3.0,1.0,2.2167189339216238e-5,-86.81382103536514,88.13494004671338,0.0,312.7778337231316,2.0,0.0,0.06511605689331205,0.06511605689331205
15002,1,103.63349612005676,0.005606348657641919,11.247885254457517,65.40988687270062,0.649781355564251,58832.29280536977,2.8998622518690205,28.057504391669546,1.696496257184146,-86.81382103536514,3.0,1.0,0.00013150522782125532,-86.81382103536514,92.74290490001476,0.0,263.8101598016177,2.0,0.0,0.06511605689331205,0.06511605689331205
15003,1,103.63349612005676,0.005606348657641919,11.247885254457517,65.40988687270062,0.649781355564251,58832.29280536977,2.8998622518690205,28.057504391669546,1.696496257184146,-86.81382103536514,15.0,1.0,8.849707613720032e-5,-86.81382103536514,89.27849946171662,0.0,232.20092937417823,4.0,0.0,0.06511605689331205,0.06511605689331205
15004,1,104.10779222995035,0.005687462439337183,10.265892456783398,69.03433230155252,0.6338524094375648,58832.209490552916,2.935190651546336,28.011088606631027,1.7576355150730594,-87.25077075206563,127.0,1.0,0.007878592753899613,-87.25077075206563,92.37597499602215,-0.06980504295130174,97.20801206466479,6.0,0.0,0.06511605689331205,0.06511605689331205
15005,1,104.10779222995035,0.005687462439337183,10.265892456783398,69.03433230155252,0.6338524094375648,58832.209490552916,2.935190651546336,28.011088606631027,1.7576355150730594,-87.25077075206563,3.0,1.0,1.5239074059665613e-33,-87.25077075206563,88.9553553319499,0.0,291.331321058223,2.0,0.0,0.06511605689331205,0.06511605689331205
15006,1,104.10779222995035,0.005687462439337183,10.265892456783398,69.03433230155252,0.6338524094375648,58832.209490552916,2.935190651546336,28.011088606631027,1.7576355150730594,-87.25077075206563,15.0,1.0,0.00020555988201345128,-87.25077075206563,93.39250872118711,0.0,400.40402594076306,3.0,0.0,0.06511605689331205,0.06511605689331205
15007,1,104.10779222995035,0.005687462439337183,10.265892456783398,69.03433230155252,0.6338524094375648,58832.209490552916,2.935190651546336,28.011088606631027,1.7576355150730594,-87.25077075206563,1.0,1.0,0.0,-87.25077075206563,92.06106587656,0.0,1348.3637678694795,0.0,1.0,0.06511605689331205,0.06511605689331205
15008,1,105.2391800259386,0.005853220061869565,9.745483704621508,71.61305499003919,0.6269610902713413,58832.235775886475,2.910092267218813,27.9952318407718,1.7758329266772044,-87.74570835234822,5.0,1.0,0.519881048146798,-87.74570835234822,90.51293919229965,-0.05856100216124105,3403.9766658547683,2.0,1.0,0.06511605689331205,0.06511605689331205
15009,1,98.9254885059499,0.003846774079683878,11.310261111541848,83.09961417885955,0.38835769157287775,58831.78978151854,2.7772817355474624,27.081813604725912,2.0026539952144273,-88.78623848935756,31.0,1.0,0.44929653553903914,-88.78623848935756,90.38159662702591,0.020844295039324834,213.99039323666182,5.0,0.0,0.06511605689331205,0.06511605689331205
15010,1,99.60780140717188,0.002793481025254925,10.633490030303049,60.48014621921759,0.5122599358938971,58832.374582124976,3.003498453611943,27.47876300628545,1.1944429129006862,-87.7877444086253,31.0,1.0,0.998576685885115,-87.7877444086253,91.10838341115081,-0.1391450131244767,-0.5505146948606239,5.0,0.0,0.06511605689331205,0.06511605689331205
15011,1,98.70985815864142,0.0033452446054638707,11.044982313444285,58.31881469751451,0.47622081653597875,58832.15234595047,2.988028649722465,27.54425335694816,1.0702413664184798,-86.71478106894511,13.0,1.0,0.5662518086854169,-86.71478106894511,90.73836224565946,-0.4999441043097761,1512.3356758701898,3.0,1.0,0.06511605689331205,0.06511605689331205
15012,1,100.01480585553786,0.0028218790268384236,10.071918910129858,51.30316101656676,0.48463898740737626,58832.15929878497,2.826417978303588,27.63720696210666,0.9396878173252307,-87.6564120485867,31.0,1.0,0.03481096063065165,-87.6564120485867,91.02728726621092,0.29139927824620315,59.77332053796984,5.0,0.0,0.06511605689331205,0.06511605689331205
15013,1,99.92884937704174,0.002342593830833986,10.318916205677178,50.06443566316786,0.5069332753742696,58832.208973995905,2.8909989990440623,27.533178825480135,0.9927269603588641,-87.42452684971158,63.0,1.0,0.2736541222490526,-87.42452684971158,89.75434831348478,-0.1323582735977311,41.72247106500366,5.0,0.0,0.06511605689331205,0.06511605689331205
15014,1,99.92884937704174,0.002342593830833986,10.318916205677178,50.06443566316786,0.5069332753742696,58832.208973995905,2.8909989990440623,27.533178825480135,0.9927269603588641,-87.42452684971158,7.0,1.0,0.3519088844201312,-87.42452684971158,89.74348352169635,0.0,1755.228992056858,2.0,1.0,0.06511605689331205,0.06511605689331205
15015,1,99.92884937704174,0.002342593830833986,10.318916205677178,50.06443566316786,0.5069332753742696,58832.208973995905,2.8909989990440623,27.533178825480135,0.9927269603588641,-87.42452684971158,15.0,1.0,0.08246545088206865,-87.42452684971158,89.33063902333568,0.0,534.0029270474583,4.0,0.0,0.06511605689331205,0.06511605689331205
15016,1,98.90445876310976,0.002868025364897523,10.55504245106561,44.62537108715742,0.538335533094578,58832.09161956585,2.9137007347714645,27.665616247645904,0.9620364915265552,-87.4044297987449,31.0,1.0,0.27689509057512235,-87.4044297987449,90.52008132668192,0.024119843426817056,312.75935329851814,5.0,0.0,0.06511605689331205,0.06511605689331205
15017,1,98.90569865429826,0.0026963971261072797,10.719382415513584,43.93112685915337,0.4919963463181791,58831.9075652423,2.9053545798357883,27.66651673055482,0.9104395109876303,-88.34715844906728,9.0,1.0,0.19857416891514085,-88.34715844906728,93.55986384772942,0.04974571389388416,3007.4876450340266,3.0,1.0,0.06511605689331205,0.06511605689331205
15018,1,98.90569865429826,0.0026963971261072797,10.719382415513584,43.93112685915337,0.4919963463181791,58831.9075652423,2.9053545798357883,27.66651673055482,0.9104395109876303,-88.34715844906728,7.0,1.0,0.0632351945949622,-88.34715844906728,92.44838449532975,0.0,1629.4852586459883,2.0,1.0,0.06511605689331205,0.06511605689331205
